"user_id","job_id","direction","time"
1791,2862,true,2019-08-13 09:08:48
4761,8977,true,2019-08-20 07:42:56
6138,1883,false,2019-08-24 10:06:44
63,4830,false,2019-08-12 16:18:14
3942,5114,true,2019-08-17 06:25:09
2295,2772,true,2019-08-14 09:05:59
8064,2736,false,2019-09-04 09:32:27
2115,6146,true,2019-08-13 19:45:59
5346,3405,true,2019-08-21 16:43:11
6858,6762,false,2019-09-17 11:52:36
7020,2736,false,2019-09-02 23:06:41
4212,5898,true,2019-08-18 12:12:03
2709,9010,false,2019-08-28 08:31:20
2439,3561,false,2019-08-14 11:55:23
6111,1513,false,2019-08-24 19:09:55
7326,2871,false,2019-09-02 09:46:40
10098,10762,false,2019-09-16 23:43:13
2700,4731,false,2019-08-14 15:37:28
7191,9974,false,2019-09-25 08:21:05
1836,2187,false,2019-08-13 09:39:31
5382,3919,false,2019-08-22 15:54:15
5040,9468,false,2019-09-10 16:17:28
1926,5968,false,2019-08-26 21:47:52
7686,6155,false,2019-09-01 20:06:51
3447,6052,true,2019-08-16 07:53:17
5346,2961,false,2019-08-21 16:52:40
6948,7588,false,2019-08-29 13:13:05
2295,3651,true,2019-08-14 10:14:04
2115,3182,true,2019-08-13 19:41:26
8487,2831,true,2019-09-05 14:24:05
8721,4649,true,2019-09-06 15:49:00
5121,6192,true,2019-09-02 06:46:45
8352,2857,true,2019-09-04 21:13:07
6597,3745,true,2019-08-27 16:37:48
1791,4317,true,2019-08-13 09:08:30
5787,6244,false,2019-08-22 23:15:21
4761,4445,false,2019-08-20 07:42:22
3204,6239,false,2019-08-29 17:46:44
1512,9010,false,2019-08-12 19:57:11
2700,5122,false,2019-08-14 15:37:41
9405,3367,false,2019-09-18 20:27:16
7677,4373,true,2019-09-01 19:20:28
3024,860,false,2019-08-17 04:54:03
2304,12144,true,2019-09-23 01:10:11
7830,7266,false,2019-09-02 14:27:21
1908,3691,true,2019-08-14 12:07:18
459,8037,false,2019-09-02 11:16:40
2826,39,true,2019-08-14 17:20:55
8082,7753,true,2019-09-04 12:20:48
1017,2920,false,2019-08-12 13:19:52
6111,10759,false,2019-09-06 15:19:14
5634,6237,true,2019-08-29 16:33:22
3339,99,false,2019-08-19 11:23:30
6840,3644,false,2019-08-28 18:21:38
5292,3703,false,2019-09-10 09:24:46
3096,10152,true,2019-09-17 20:35:04
1809,9399,true,2019-08-27 08:22:21
5634,5075,false,2019-08-29 16:32:42
5193,7547,true,2019-08-23 08:32:33
1197,3056,true,2019-08-12 22:16:15
9801,6722,true,2019-09-24 13:43:15
8397,7929,false,2019-09-24 00:31:41
2871,11336,true,2019-09-19 13:35:42
1512,2863,false,2019-08-12 19:53:22
3717,3918,false,2019-08-16 16:55:54
7839,2699,false,2019-09-02 15:35:56
2358,6122,true,2019-08-14 10:37:56
7659,5421,true,2019-09-01 18:43:45
4860,7070,false,2019-08-27 14:01:57
10179,7751,true,2019-09-18 08:54:58
10206,9706,false,2019-09-18 11:28:11
1989,9538,false,2019-08-20 18:35:43
7605,6960,false,2019-09-01 13:35:06
1818,3415,false,2019-08-13 16:11:20
6291,6704,true,2019-08-26 19:45:37
1656,4732,false,2019-08-13 12:51:38
4698,1160,false,2019-08-19 22:32:05
8397,12005,false,2019-09-18 21:57:07
5283,13312,true,2019-09-25 09:48:31
5913,6115,false,2019-09-19 08:27:43
5265,3847,false,2019-08-21 15:27:56
6840,7726,false,2019-08-28 17:50:37
4284,4438,false,2019-08-22 17:30:12
1836,6106,true,2019-08-13 09:27:44
8748,9366,false,2019-09-06 17:52:41
1899,6972,false,2019-08-16 10:37:01
6516,8028,false,2019-08-27 19:42:59
9477,10166,true,2019-09-10 18:23:55
1413,6960,false,2019-08-12 18:15:28
6750,7726,false,2019-08-28 21:35:41
4590,722,true,2019-08-19 15:54:11
4329,891,true,2019-08-19 01:22:10
10224,3523,false,2019-09-23 14:49:25
